,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG,Matches
54,55,Reda Belahyane,fr FRA,MF,Nice,18,2004,4,1,182,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,10,1,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
55,56,Youcef Belaïli,dz ALG,MFFW,Ajaccio,30,1992,17,15,1150,12.8,6,3,9,1,5,6,2,0,6.2,1.8,3.5,5.3,32,55,68,0.47,0.23,0.7,0.08,0.31,0.48,0.27,0.76,0.14,0.42,Matches
56,57,Youcef Belaïli,dz ALG,FWMF,Brest,30,1992,6,4,356,4.0,0,2,2,0,0,0,3,0,0.7,0.7,0.8,1.4,16,14,31,0.0,0.51,0.51,0.0,0.51,0.17,0.19,0.36,0.17,0.36,Matches
57,58,Haris Belkebla,dz ALG,MF,Brest,28,1994,38,30,2656,29.5,2,0,2,1,1,1,3,0,1.3,0.5,0.6,1.1,19,129,37,0.07,0.0,0.07,0.03,0.03,0.04,0.02,0.06,0.02,0.04,Matches
58,59,Jean-Ricner Bellegarde,fr FRA,MFFW,Strasbourg,24,1998,30,29,2419,26.9,2,6,8,2,0,0,5,0,2.6,2.6,5.2,7.8,104,153,110,0.07,0.22,0.3,0.07,0.3,0.1,0.19,0.29,0.1,0.29,Matches
59,60,Jeanuël Belocian,fr FRA,DF,Rennes,17,2005,8,6,506,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,8,21,21,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Matches
60,61,Eliesse Ben Seghir,ma MAR,FWMF,Monaco,17,2005,19,13,1052,11.7,4,1,5,4,0,0,1,0,1.9,1.9,1.2,3.2,31,55,93,0.34,0.09,0.43,0.34,0.43,0.17,0.11,0.27,0.17,0.27,Matches
61,62,Salim Ben Seghir,fr FRA,MF,Marseille,19,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
62,63,Wissam Ben Yedder,fr FRA,FW,Monaco,31,1990,32,28,2114,23.5,19,6,25,14,5,6,4,0,17.4,12.7,3.8,16.5,48,75,198,0.81,0.26,1.06,0.6,0.85,0.74,0.16,0.9,0.54,0.7,Matches
63,64,Nabil Bentaleb,dz ALG,MF,Angers,27,1994,30,29,2489,27.7,4,4,8,2,2,2,7,1,3.2,1.6,2.3,3.9,46,176,28,0.14,0.14,0.29,0.07,0.22,0.11,0.08,0.2,0.06,0.14,Matches
64,65,Patrick Berg,no NOR,MFFW,Lens,24,1997,3,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.17,Matches
65,66,Mitchell van Bergen,nl NED,FWDF,Reims,22,1999,28,6,905,10.1,0,1,1,0,0,0,1,0,2.2,2.2,2.7,4.8,51,21,89,0.0,0.1,0.1,0.0,0.1,0.22,0.26,0.48,0.22,0.48,Matches
66,67,Quentin Bernard,fr FRA,DF,Auxerre,33,1989,7,7,630,7.0,0,1,1,0,0,0,0,0,0.0,0.0,0.6,0.6,4,27,14,0.0,0.14,0.14,0.0,0.14,0.0,0.08,0.08,0.0,0.08,Matches
