,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
299,300,Keane Lewis-Potter,eng ENG,FWMF,Brentford,21,2001,3.6,0,0,0,1,4,1,8,0,0,0,0,0,20,4,4,50.0,Matches
300,301,Victor Lindelöf,se SWE,DF,Manchester Utd,28,1994,15.2,1,0,0,10,4,0,1,21,17,0,0,0,84,33,20,62.3,Matches
301,302,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,29,1992,10.3,1,0,0,8,9,2,5,5,4,0,0,0,39,1,3,25.0,Matches
302,303,Valentino Livramento,eng ENG,DFFW,Southampton,19,2002,0.3,0,0,0,0,2,0,0,2,1,0,0,0,4,0,1,0.0,Matches
303,304,Diego Llorente,es ESP,DF,Leeds United,28,1993,7.2,1,0,0,6,2,0,1,15,10,0,0,0,57,18,7,72.0,Matches
304,305,Hugo Lloris,fr FRA,GK,Tottenham,35,1986,24.5,0,0,0,0,2,0,0,1,1,0,0,1,30,9,3,75.0,Matches
305,306,Renan Lodi,br BRA,DF,Nott'ham Forest,24,1998,24.6,7,0,0,29,42,2,75,33,39,0,0,0,153,18,19,48.6,Matches
306,307,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,26,1996,17.1,1,0,0,10,34,1,19,12,14,0,0,1,101,22,26,45.8,Matches
307,308,Sean Longstaff,eng ENG,MF,Newcastle Utd,24,1997,28.0,2,0,0,29,39,5,30,16,21,0,0,0,141,23,28,45.1,Matches
308,309,Jamal Lowe,jm JAM,MFFW,Bournemouth,28,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
309,310,Douglas Luiz,br BRA,MF,Aston Villa,24,1998,32.5,6,1,0,48,42,2,106,40,42,0,0,0,197,25,22,53.2,Matches
310,311,Saša Lukić,rs SRB,MF,Fulham,25,1996,4.6,1,0,0,13,10,0,2,5,3,0,0,0,28,4,5,44.4,Matches
