,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
296,297,Nathanael Mbuku,fr FRA,FW,Augsburg,21.0,2002.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
297,298,Marvin Mehlem,de GER,MF,Darmstadt 98,25.0,1997.0,16.5,3,0,0,20,34,8,18,33,21,0,0,0,82,13,13,50.0,Matches
298,299,Thomas Meunier,be BEL,DF,Dortmund,31.0,1991.0,6.5,0,0,0,10,0,0,17,4,1,0,0,0,43,7,6,53.8,Matches
299,300,Alexander Meyer,de GER,GK,Dortmund,32.0,1991.0,7.7,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,,Matches
300,301,Sven Michel,de GER,FWMF,Augsburg,33.0,1990.0,6.5,2,0,0,12,4,4,10,0,5,0,0,0,22,18,30,37.5,Matches
301,302,Enzo Millot,fr FRA,MFFW,Stuttgart,21.0,2002.0,24.9,5,0,0,36,35,4,38,16,22,1,0,0,135,7,30,18.9,Matches
302,303,Jovan Milošević,rs SRB,FWMF,Stuttgart,18.0,2005.0,0.3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0.0,Matches
303,304,Kim Min-jae,kr KOR,DF,Bayern Munich,26.0,1996.0,21.9,3,0,0,19,2,1,2,45,24,0,0,0,143,75,29,72.1,Matches
304,305,Maximilian Mittelstädt,de GER,DF,Stuttgart,26.0,1997.0,23.4,5,0,0,28,31,1,105,46,51,0,0,0,140,30,20,60.0,Matches
305,306,Marko Mladenović,rs SRB,MF,Eint Frankfurt,18.0,2005.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
306,307,Max Moerstedt,de GER,DFFW,Hoffenheim,,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
307,308,Mateu Morey,es ESP,DF,Dortmund,23.0,2000.0,1.2,0,0,0,3,5,1,1,1,2,0,0,0,7,2,2,50.0,Matches
308,309,Youssoufa Moukoko,de GER,FW,Dortmund,18.0,2004.0,6.9,1,0,0,8,2,7,4,2,1,0,0,0,21,6,10,37.5,Matches
309,310,Andreas Müller,de GER,MF,Darmstadt 98,23.0,2000.0,3.9,3,0,0,5,4,0,2,4,9,0,0,0,20,3,1,75.0,Matches
310,311,Jannik Müller,de GER,DFMF,Darmstadt 98,29.0,1994.0,12.6,5,0,0,19,7,0,7,17,16,0,0,0,66,21,17,55.3,Matches
311,312,Kevin Müller,de GER,GK,Heidenheim,32.0,1991.0,34.0,1,0,0,1,2,0,0,0,0,0,1,0,33,4,1,80.0,Matches
312,313,Marcus Müller,de GER,MF,Mainz 05,20.0,2002.0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,75.0,Matches
313,314,Thomas Müller,de GER,MFFW,Bayern Munich,33.0,1989.0,18.4,0,0,0,12,21,15,55,3,16,1,1,0,55,30,25,54.5,Matches
314,315,Jamal Musiala,de GER,MFFW,Bayern Munich,20.0,2003.0,19.5,2,0,0,26,39,2,11,16,25,0,0,0,91,7,11,38.9,Matches
315,316,Florent Muslija,xk KVX,MFFW,Freiburg,25.0,1998.0,1.2,0,0,0,1,2,0,9,0,4,0,0,0,7,1,1,50.0,Matches
316,317,Phillipp Mwene,at AUT,DF,Mainz 05,29.0,1994.0,22.2,4,1,0,34,13,3,86,17,15,1,0,0,88,18,18,50.0,Matches
317,318,Joakim Mæhle,dk DEN,DFMF,Wolfsburg,26.0,1997.0,27.2,5,0,0,19,15,2,60,29,39,0,1,0,134,22,24,47.8,Matches
318,319,Nathan N'Goumou,fr FRA,FWMF,Gladbach,23.0,2000.0,15.4,1,0,0,13,18,6,28,5,22,0,1,0,62,9,34,20.9,Matches
319,320,Stanley N'Soki,fr FRA,DF,Hoffenheim,24.0,1999.0,7.0,3,1,1,12,2,0,7,8,10,0,1,0,46,12,9,57.1,Matches
320,321,Luca Netz,de GER,DF,Gladbach,20.0,2003.0,24.7,2,0,0,26,16,1,74,22,22,0,2,0,130,37,29,56.1,Matches
321,322,Manuel Neuer,de GER,GK,Bayern Munich,37.0,1986.0,22.8,1,0,0,1,2,0,0,0,1,0,1,0,31,6,3,66.7,Matches
322,323,Florian Neuhaus,de GER,MF,Gladbach,26.0,1997.0,13.6,4,0,0,9,18,0,10,14,12,0,0,0,70,7,7,50.0,Matches
323,324,Jessic Ngankam,de GER,FWMF,Mainz 05,23.0,2000.0,2.0,0,1,0,8,3,1,1,3,1,0,0,0,7,2,7,22.2,Matches
324,325,Jessic Ngankam,de GER,FW,Eint Frankfurt,23.0,2000.0,3.1,2,0,0,11,7,2,0,0,2,0,0,0,11,3,14,17.6,Matches
325,326,Moritz Nicolas,de GER,GK,Gladbach,25.0,1997.0,27.0,2,0,0,1,2,0,0,0,0,0,1,0,35,10,0,100.0,Matches
326,327,Justin Njinmah,de GER,FW,Werder Bremen,22.0,2000.0,11.3,1,0,0,6,20,9,10,2,1,0,0,0,34,8,15,34.8,Matches
